Date,AAPL,GOOGL,JPM,MSFT,XOM
2019-01-02,37.469200134277344,52.270503997802734,80.83651733398438,94.1931381225586,49.66475296020508
2019-01-03,33.737003326416016,50.822837829589844,79.68769073486328,90.72795104980469,48.90220642089844
2019-01-04,35.17720413208008,53.42972946166992,82.62541961669922,94.94763946533203,50.70520782470703
2019-01-07,35.098907470703125,53.32316970825195,82.68283081054688,95.06874084472656,50.968894958496094
2019-01-08,35.76799774169922,53.79151916503906,82.52693176269531,95.75804901123047,51.3394889831543
2019-01-09,36.375396728515625,53.60715103149414,82.38742065429688,97.12733459472656,51.61027908325195
2019-01-10,36.49166488647461,53.46739196777344,82.37922668457031,96.5032730102539,51.346595764160156
2019-01-11,36.13339614868164,52.755699157714844,81.98534393310547,95.75804901123047,51.11143112182617
2019-01-14,35.590049743652344,52.1133918762207,82.83052825927734,95.05944061279297,51.047279357910156
2019-01-15,36.31846618652344,53.848018646240234,83.43778991699219,97.81666564941406,51.07579040527344
2019-01-16,36.76214599609375,53.99669647216797,84.11066436767578,98.16130828857422,51.05442810058594
2019-01-17,36.980438232421875,54.47298049926758,84.45532989501953,98.85063171386719,51.40361785888672
2019-01-18,37.20821762084961,54.87838363647461,85.82571411132812,100.33171844482422,52.01650619506836
2019-01-22,36.37303161621094,53.45747756958008,84.47174835205078,98.44076538085938,51.23257827758789
2019-01-23,36.520137786865234,53.74394226074219,84.25836944580078,99.40023040771484,50.81211471557617
2019-01-24,36.23066711425781,53.7236213684082,84.30762481689453,98.9251708984375,50.88337707519531
2019-01-25,37.431236267089844,54.59142303466797,84.84101104736328,99.82868957519531,51.11143112182617
2019-01-28,37.0848274230957,53.5184440612793,85.24308013916016,97.8818588256836,50.76934814453125
2019-01-29,36.70046615600586,53.03274917602539,85.48107147216797,95.8884506225586,50.961769104003906
2019-01-30,39.2083625793457,54.41697692871094,85.6780014038086,99.09280395507812,51.517635345458984
2019-01-31,39.490726470947266,55.79970932006836,84.9312515258789,97.2763900756836,52.223167419433594
2019-02-01,39.509700775146484,55.43939971923828,85.24308013916016,95.73941802978516,54.104576110839844
2019-02-04,40.63197326660156,56.56938552856445,85.54671478271484,98.4966812133789,53.32063674926758
2019-02-05,41.3271598815918,57.0872917175293,85.16924285888672,99.8752670288086,53.869388580322266
2019-02-06,41.341407775878906,55.65102767944336,85.12821197509766,98.76679229736328,53.63420867919922
2019-02-07,40.55842208862305,54.80949401855469,84.0121841430664,98.0588607788086,53.22087478637695
2019-02-08,40.6060791015625,54.634544372558594,83.17520141601562,98.43144989013672,53.307334899902344
2019-02-11,40.37255096435547,54.62165832519531,82.78129577636719,98.04021453857422,53.39381408691406
2019-02-12,40.720458984375,55.88347244262695,84.19271850585938,99.56788635253906,54.330543518066406
2019-02-13,40.551265716552734,55.935508728027344,84.59484100341797,99.49334716796875,54.94303512573242
2019-02-14,40.69900894165039,55.9637565612793,84.04502868652344,99.57719421386719,54.957435607910156
2019-02-15,40.60846710205078,55.48945999145508,86.61347961425781,100.80677032470703,55.99504089355469
2019-02-19,40.72998046875,55.830440521240234,86.30986785888672,100.76020050048828,56.369747161865234
2019-02-20,40.99210739135742,55.53704071044922,86.72836303710938,100.23634338378906,56.585906982421875
2019-02-21,40.76095962524414,54.72523880004883,86.5478286743164,102.35052490234375,56.074310302734375
2019-02-22,41.21609115600586,55.337310791015625,86.16214752197266,103.80984497070312,56.50664520263672
2019-02-25,41.516326904296875,55.37547302246094,87.06481170654297,104.38984680175781,56.56430435180664
2019-02-26,41.5401611328125,55.607421875,86.400146484375,105.11017608642578,56.679588317871094
2019-02-27,41.6688232421875,55.65102767944336,86.29344177246094,104.93241882324219,57.26324462890625
2019-02-28,41.258968353271484,55.83242416381836,85.636962890625,104.80146789550781,56.946197509765625
2019-03-01,41.692649841308594,56.92127227783203,85.69441986083984,105.26920318603516,57.6451301574707
2019-03-04,41.90235137939453,57.164119720458984,85.49747467041016,105.01661682128906,57.8685302734375
2019-03-05,41.82609176635742,57.9456901550293,85.43183135986328,104.49272918701172,57.78204345703125
2019-03-06,41.58542251586914,57.73505783081055,85.11180114746094,104.53954315185547,57.12632369995117
2019-03-07,41.10409927368164,57.036746978759766,84.4963607788086,103.26728820800781,57.76044464111328
2019-03-08,41.201786041259766,56.99312973022461,84.5291748046875,103.37955474853516,56.93177795410156
2019-03-11,42.62911605834961,58.444759368896484,85.62875366210938,105.54987335205078,57.486629486083984
2019-03-12,43.10806655883789,59.33635330200195,85.3743896484375,106.28886413574219,57.6451301574707
2019-03-13,43.29869842529297,59.426055908203125,85.66160583496094,107.11209869384766,58.15674591064453
2019-03-14,43.780025482177734,59.10242462158203,86.441162109375,107.1962661743164,57.96220016479492
2019-03-15,44.349517822265625,58.991912841796875,87.43406677246094,108.43109893798828,57.75322341918945
2019-03-18,44.80227279663086,58.90517807006836,87.95923614501953,109.98397827148438,58.4233512878418
2019-03-19,44.44721603393555,59.59455871582031,87.63923645019531,110.05883026123047,58.27205276489258
2019-03-20,44.83563232421875,60.78253173828125,85.76826477050781,109.9372329711914,58.596290588378906
2019-03-21,46.4869384765625,61.26326370239258,84.414306640625,112.4630126953125,58.934940338134766
2019-03-22,45.52427673339844,59.851776123046875,81.86225891113281,109.49757385253906,57.991004943847656
2019-03-25,44.97383117675781,59.34280014038086,81.18115234375,110.06820678710938,57.58750915527344
2019-03-26,44.50917053222656,58.9691162109375,81.99354553222656,110.30204772949219,58.336891174316406
2019-03-27,44.90950393676758,58.3828125,81.71455383300781,109.23561096191406,57.89013671875
2019-03-28,44.96907424926758,58.098323822021484,82.64180755615234,109.38530731201172,58.17836380004883
2019-03-29,45.26216125488281,58.32729721069336,83.06852722167969,110.33012390136719,58.22160339355469
2019-04-01,45.56953811645508,59.42210006713867,85.86673736572266,111.34043884277344,58.891719818115234
2019-04-02,46.23197937011719,59.74721145629883,86.27704620361328,111.49948120117188,58.63951873779297
2019-04-03,46.54890823364258,60.00839614868164,86.44937133789062,112.22916412353516,58.293643951416016
2019-04-04,46.629905700683594,60.43659210205078,87.28450012207031,111.65852355957031,59.1223030090332
2019-04-05,46.94205856323242,60.04011154174805,87.07776641845703,112.15430450439453,59.439353942871094
2019-04-08,47.68075180053711,59.88300704956055,87.35891723632812,112.19171142578125,59.80685043334961
2019-04-09,47.537776947021484,59.60595703125,86.71397399902344,111.58367156982422,59.03584289550781
2019-04-10,47.80465316772461,59.792301177978516,87.10260009765625,112.4349365234375,58.76920700073242
2019-04-11,47.40670394897461,59.94792938232422,87.83849334716797,112.56591033935547,59.05024337768555
2019-04-12,47.38765335083008,60.59915542602539,91.95633697509766,113.14591217041016,58.30805206298828
2019-04-15,47.47343444824219,60.78748321533203,90.90621185302734,113.23945617675781,58.11351013183594
2019-04-16,47.47821044921875,61.05411911010742,91.8653564453125,112.9775161743164,58.50979995727539
2019-04-17,48.40276336669922,61.462005615234375,94.51136016845703,113.91299438476562,58.6755485534668
2019-04-18,48.57669448852539,61.52791976928711,93.81676483154297,115.40975952148438,58.459388732910156
2019-04-22,48.736358642578125,62.13701248168945,93.93251037597656,115.77459716796875,59.734764099121094
2019-04-23,49.43928909301758,62.97111892700195,94.04830169677734,117.3462142944336,60.08064651489258
2019-04-24,49.36302947998047,62.448753356933594,93.89120483398438,116.9439468383789,58.913330078125
2019-04-25,48.91506576538086,62.8100471496582,93.94081115722656,120.81681823730469,59.244789123535156
2019-04-26,48.681541442871094,63.30961990356445,94.65191650390625,121.50909423828125,57.99821090698242
2019-04-29,48.755401611328125,64.24037170410156,96.01627349853516,121.39681243896484,57.6235237121582
2019-04-30,47.81657028198242,59.42110061645508,95.95838165283203,122.17327880859375,57.84689712524414
2019-05-01,50.16366958618164,58.15036392211914,95.22247314453125,119.6287612915039,56.686790466308594
